"special_activity_type","product_name","activity_name","unit","ISIC_number","ISIC_class","CPC_number","CPC_description","FAO_code","FAO_name","ProductCategory","ProductSubcategory","ProductName","ActivityName","Unit","ProductSubgroup","FeedIngredients"
"ordinary transforming activity","feldspar","feldspar production","kg","0810","Quarrying of stone, sand and clay","16390","Other minerals n.e.c.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","sodium perborate, tetrahydrate, powder","sodium perborate production, tetrahydrate, powder","kg","2023","Manufacture of soap and detergents, cleaning and polishing preparations, pe","353","Soap, cleaning preparations, perfumes and toilet preparations",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","latex","latex production","kg","2013","Manufacture of plastics and synthetic rubber in primary forms","34790","Other plastics in primary forms; ion exchangers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","anthraquinone","anthraquinone production","kg","2011","Manufacture of basic chemicals","34170","Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]","1432","Oxirane (ethylene oxide) (Trade)",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","anthraquinone","anthraquinone production","kg","2011","Manufacture of basic chemicals","34170","Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]","1433","Dieldrin (Trade)",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","concrete block","concrete block production","kg","2395","Manufacture of articles of concrete, cement and plaster","37510","Non-refractory mortars and concretes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","gravel, crushed","gravel production, crushed","kg","0810","Quarrying of stone, sand and clay","15320","Pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powder of stone",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","cement mortar","cement mortar production","kg","2394","Manufacture of cement, lime and plaster","37","Glass and glass products and other non-metallic products n.e.c.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","autoclaved aerated concrete block","autoclaved aerated concrete block production","kg","2395","Manufacture of articles of concrete, cement and plaster","37510","Non-refractory mortars and concretes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, hard coal","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, hydro, reservoir, tropical region","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, lignite","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, natural gas, combined cycle power plant","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, natural gas, conventional power plant","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, nuclear, pressure water reactor","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, oil","kWh","3510a","Electric power generation based on liquid fuels","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, low voltage","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","kWh","3510b","Electric power generation, photovoltaic","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, wind, <1MW turbine, onshore","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, wind, >3MW turbine, onshore","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from AR","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, wind, 1-3MW turbine, onshore","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from VE","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from UY","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from PY","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","electricity, high voltage","market for electricity, high voltage","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","electricity, low voltage","market for electricity, low voltage","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","electricity, medium voltage","market for electricity, medium voltage","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity production, hydro, reservoir, alpine region","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","electricity, high voltage","electricity, high voltage, import from BR","kWh","3510","Electric power generation, transmission and distribution","17100","Electrical energy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","soybean","soybean production","kg","0111","Growing of cereals (except rice), leguminous crops and oil seeds","01412","Soya beans, other","0236","Soybeans",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","sugarcane","sugarcane production","kg","0114","Growing of sugar cane","01802","Sugar cane","0156","Sugar cane",NA,NA,NA,NA,NA,NA,NA
"market activity","sugarcane","market for sugarcane","kg","0114","Growing of sugar cane","01802","Sugar cane","0156","Sugar cane",NA,NA,NA,NA,NA,NA,NA
"market activity","land use change, annual crop","market for land use change, annual crop","ha","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land tenure, arable land, measured as carbon net primary productivity, perennial crop","land already in use, perennial cropland to perennial crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","land use change, perennial crop","market for land use change, perennial crop","ha","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","land tenure, arable land, measured as carbon net primary productivity, perennial crop","market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land use change, annual crop","land use change, annual crop","ha","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land tenure, arable land, measured as carbon net primary productivity, perennial crop","clear-cutting, secondary forest to arable land, perennial crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land tenure, arable land, measured as carbon net primary productivity, annual crop","land already in use, annual cropland to annual crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land tenure, arable land, measured as carbon net primary productivity, annual crop","clear-cutting, secondary forest to arable land, annual crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","land tenure, arable land, measured as carbon net primary productivity, annual crop","market for land tenure, arable land, measured as carbon net primary productivity, annual crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land tenure, arable land, measured as carbon net primary productivity, perennial crop","clear-cutting, primary forest to arable land, perennial crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land tenure, arable land, measured as carbon net primary productivity, annual crop","clear-cutting, primary forest to arable land, annual crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land tenure, arable land, measured as carbon net primary productivity, annual crop","land already in use, perennial cropland to annual crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land tenure, arable land, measured as carbon net primary productivity, perennial crop","land already in use, annual cropland to perennial crop","kg","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","land use change, perennial crop","land use change, perennial crop","ha","68","Real estate activities","7","Financial and related services; real estate services; and rental and leasing services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","gold","gold production","kg","0729","Mining of other non-ferrous metal ores","41320","Gold (including gold plated with platinum), unwrought or in semi-manufactured forms, or in powder form",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","textile, kenaf","textile production, kenaf","kg","1312","Weaving of textiles","26570","Woven fabrics of jute and other textile bast fibres (except flax, true hemp and ramie)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","mine infrastructure, gold","mine construction, gold","unit","4290","Construction of other civil engineering projects","53261","Mining constructions",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","onion","onion production","kg","0113","Growing of vegetables and melons, roots and tubers","01253","Onions","0402","Onions, shallots (green)",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","onion","onion production","kg","0113","Growing of vegetables and melons, roots and tubers","01253","Onions","0403","Onions, dry",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","yarn, jute","yarn production, jute","kg","1311","Preparation and spinning of textile fibres","26380","Yarn of vegetable textile fibres other than cotton (including flax, jute, coir and true hemp); paper yarn",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","heat, central or small-scale, other than natural gas","treatment of stalk, in wood heater 6kW","MJ","3530","Steam and air conditioning supply","17300","Steam and hot water",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","iron ore, beneficiated, 65% Fe","iron ore beneficiation to 65% Fe","kg","0710","Mining of iron ores","14100","Iron ores and concentrates, other than roasted iron pyrites",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","yarn, kenaf","yarn production, kenaf","kg","1311","Preparation and spinning of textile fibres","26380","Yarn of vegetable textile fibres other than cotton (including flax, jute, coir and true hemp); paper yarn",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","iron ore, crude ore, 46% Fe","iron mine operation, crude ore, 46% Fe","kg","0710","Mining of iron ores","14100","Iron ores and concentrates, other than roasted iron pyrites",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","pig iron","pig iron production","kg","2410","Manufacture of basic iron and steel","41111","Pig iron and spiegeleisen in pigs, blocks or other primary forms",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","sinter, iron","sinter production, iron","kg","2410","Manufacture of basic iron and steel","41116","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets[…]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","cattle for slaughtering, live weight","market for cattle for slaughtering, live weight","kg","0141","Raising of cattle and buffaloes","02111","Cattle","0866","Cattle",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","orange, fresh grade","orange production, fresh grade","kg","0123","Growing of citrus fruits","01323","Oranges","0490","Oranges",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","irrigation","irrigation","m3","0161","Support activities for crop production","86119","Other support services to crop production",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","water, decarbonised, at user","water production and supply, decarbonised","kg","3600","Water collection, treatment and supply","18000","Natural water","0631","Waters, Ice and Snow",NA,NA,NA,NA,NA,NA,NA
"market activity","irrigation","market for irrigation","m3","0161","Support activities for crop production","86119","Other support services to crop production",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","water, decarbonised, at user","market for water, decarbonised, at user","kg","3600","Water collection, treatment and supply","18000","Natural water","0631","Waters, Ice and Snow",NA,NA,NA,NA,NA,NA,NA
"market activity","water, completely softened, from decarbonised water, at user","market for water, completely softened, from decarbonised water, at user","kg","3600","Water collection, treatment and supply","18000","Natural water","0631","Waters, Ice and Snow",NA,NA,NA,NA,NA,NA,NA
"market activity","water, ultrapure","market for water, ultrapure","kg","2011","Manufacture of basic chemicals","34","Basic chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","water, completely softened, from decarbonised water, at user","water production, completely softened, from decarbonised water, at user","kg","3600","Water collection, treatment and supply","18000","Natural water","0631","Waters, Ice and Snow",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","water, deionised, from tap water, at user","water production, deionised, from tap water, at user","kg","3600","Water collection, treatment and supply","18000","Natural water","0631","Waters, Ice and Snow",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","water, ultrapure","water production, ultrapure","kg","2011","Manufacture of basic chemicals","34","Basic chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","copper, blister-copper","copper production, blister-copper","kg","2420","Manufacture of basic precious and other non-ferrous metals","41412","Unrefined copper; copper anodes for electrolytic refining",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","carboxymethyl cellulose, powder","carboxymethyl cellulose production, powder","kg","2011","Manufacture of basic chemicals","341","Basic organic chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","folding boxboard/chipboard","chipboard production, white lined","kg","1701","Manufacture of pulp, paper and paperboard","321","Pulp, paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","containerboard, fluting medium","containerboard production, fluting medium, recycled","kg","1702","Manufacture of corrugated paper and paperboard and of containers of paper a","32151","Corrugated paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","containerboard, linerboard","containerboard production, linerboard, testliner","kg","1702","Manufacture of corrugated paper and paperboard and of containers of paper a","32151","Corrugated paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","corrugated board box","corrugated board box production","kg","1702","Manufacture of corrugated paper and paperboard and of containers of paper a","32153","Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","fibre cement corrugated slab","fibre cement corrugated slab production","kg","2395","Manufacture of articles of concrete, cement and plaster","37570","Articles of asbestos-cement, cellulose fibre-cement or the like",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","fibre cement facing tile, large format","fibre cement facing tile production, large format","kg","2395","Manufacture of articles of concrete, cement and plaster","37540","Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","fibre cement facing tile, small format","fibre cement facing tile production, small format","kg","2395","Manufacture of articles of concrete, cement and plaster","37540","Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","fibre cement roof slate","fibre cement roof slate production","kg","2395","Manufacture of articles of concrete, cement and plaster","37540","Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","folding boxboard/chipboard","folding boxboard production","kg","1702","Manufacture of corrugated paper and paperboard and of containers of paper a","321","Pulp, paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","kraft paper, bleached","kraft paper production, bleached","kg","1701","Manufacture of pulp, paper and paperboard","32133","Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","kraft paper, unbleached","kraft paper production, unbleached","kg","1701","Manufacture of pulp, paper and paperboard","321","Pulp, paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","containerboard, fluting medium","market for containerboard, fluting medium","kg","1702","Manufacture of corrugated paper and paperboard and of containers of paper a","32151","Corrugated paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","containerboard, linerboard","market for containerboard, linerboard","kg","1702","Manufacture of corrugated paper and paperboard and of containers of paper a","32151","Corrugated paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","corrugated board box","market for corrugated board box","kg","1702","Manufacture of corrugated paper and paperboard and of containers of paper a","32153","Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","solvent for paint","market for solvent for paint","kg","20","Manufacture of chemicals and chemical products","3511","Paints and varnishes and related products",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","collector field area, solar thermal parabolic trough, 50 MW","market for collector field area, solar thermal parabolic trough, 50 MW","unit","4220a","Construction of utility projects for electricity production, except for liquid fuels","54262","General construction services of power plants",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","waste packaging paper","market for waste packaging paper","kg","3821","Treatment and disposal of non-hazardous waste","39240","Waste and scrap of paper or paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","sulfate pulp, bleached","market for sulfate pulp, bleached","kg","1701","Manufacture of pulp, paper and paperboard","32112","Chemical wood pulp, other than dissolving grades",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","collector field area, solar thermal parabolic trough, 50 MW","collector field area construction, solar thermal parabolic trough, 50 MW","unit","4220a","Construction of utility projects for electricity production, except for liquid fuels","54262","General construction services of power plants",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","sulfate pulp, unbleached","market for sulfate pulp, unbleached","kg","1701","Manufacture of pulp, paper and paperboard","32112","Chemical wood pulp, other than dissolving grades",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, newsprint","paper production, newsprint, recycled","kg","1701","Manufacture of pulp, paper and paperboard","32121","Newsprint",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, newsprint","paper production, newsprint, virgin","kg","1701","Manufacture of pulp, paper and paperboard","32121","Newsprint",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, woodcontaining, lightweight coated","paper production, woodcontaining, lightweight coated","kg","1701","Manufacture of pulp, paper and paperboard","321","Pulp, paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, woodcontaining, supercalendered","paper production, woodcontaining, supercalendered","kg","1701","Manufacture of pulp, paper and paperboard","321","Pulp, paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, woodfree, coated","paper production, woodfree, coated, at integrated mill","kg","1701","Manufacture of pulp, paper and paperboard","32113","Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, woodfree, coated","paper production, woodfree, coated, at non-integrated mill","kg","1701","Manufacture of pulp, paper and paperboard","32113","Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, woodfree, uncoated","paper production, woodfree, uncoated, 30% recycled content, at integrated mill","kg","1701","Manufacture of pulp, paper and paperboard","32113","Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, woodfree, uncoated","paper production, woodfree, uncoated, 50% recycled content, at non-integrated mill","kg","1701","Manufacture of pulp, paper and paperboard","32113","Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, woodfree, uncoated","paper production, woodfree, uncoated, at integrated mill","kg","1701","Manufacture of pulp, paper and paperboard","32113","Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","paper, woodfree, uncoated","paper production, woodfree, uncoated, at non-integrated mill","kg","1701","Manufacture of pulp, paper and paperboard","32113","Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","solid bleached board","solid bleached board production","kg","1701","Manufacture of pulp, paper and paperboard","321","Pulp, paper and paperboard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","sulfate pulp, bleached","sulfate pulp production, from hardwood, bleached","kg","1701","Manufacture of pulp, paper and paperboard","32112","Chemical wood pulp, other than dissolving grades",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","solvent for paint","turpentine to generic market for solvent for paint","kg","20","Manufacture of chemicals and chemical products","3511","Paints and varnishes and related products",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","de-icer","calcium chloride to generic market for de-icer","kg","2011","Manufacture of basic chemicals","34","Basic chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","chlorine, liquid","chlorine production, liquid","kg","2011","Manufacture of basic chemicals","34231","Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","solvent for paint","white spirit to generic market for solvent for paint","kg","20","Manufacture of chemicals and chemical products","3511","Paints and varnishes and related products",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","iron (III) chloride, without water, in 40% solution state","iron (III) chloride production, product in 40% solution state","kg","2011","Manufacture of basic chemicals","34240","Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","hydrogen fluoride","hydrogen fluoride production","kg","2011","Manufacture of basic chemicals","34231","Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","2,4-di-tert-butylphenol","market for 2,4-di-tert-butylphenol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1428","Pentachlorophenol (Trade)",NA,NA,NA,NA,NA,NA,NA
"market activity","2,4-di-tert-butylphenol","market for 2,4-di-tert-butylphenol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1429","Salts of Pentachlorophenol (excl 280811)",NA,NA,NA,NA,NA,NA,NA
"market activity","2,4-di-tert-butylphenol","market for 2,4-di-tert-butylphenol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1430","Dinoseb and dinoseb salts (Trade)",NA,NA,NA,NA,NA,NA,NA
"market activity","2,4-di-tert-butylphenol","market for 2,4-di-tert-butylphenol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1431","DNOC and its salts (excl. 290811-290891) (Trade)",NA,NA,NA,NA,NA,NA,NA
"market activity","acetone cyanohydrin","market for acetone cyanohydrin","kg","2013","Manufacture of plastics and synthetic rubber in primary forms","341","Basic organic chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","2-butanol","market for 2-butanol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1428","Pentachlorophenol (Trade)",NA,NA,NA,NA,NA,NA,NA
"market activity","2-butanol","market for 2-butanol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1429","Salts of Pentachlorophenol (excl 280811)",NA,NA,NA,NA,NA,NA,NA
"market activity","2-butanol","market for 2-butanol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1430","Dinoseb and dinoseb salts (Trade)",NA,NA,NA,NA,NA,NA,NA
"market activity","2-butanol","market for 2-butanol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1431","DNOC and its salts (excl. 290811-290891) (Trade)",NA,NA,NA,NA,NA,NA,NA
"market activity","4-tert-butyltoluene","market for 4-tert-butyltoluene","kg","2011","Manufacture of basic chemicals","341","Basic organic chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"market activity","2,5-dimethylhexane-2,5-dihydroperoxide","market for 2,5-dimethylhexane-2,5-dihydroperoxide","kg","2011","Manufacture of basic chemicals","34150","Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]","1398","Natural Sodium Nitrate",NA,NA,NA,NA,NA,NA,NA
"market activity","2,5-dimethylhexane-2,5-dihydroperoxide","market for 2,5-dimethylhexane-2,5-dihydroperoxide","kg","2011","Manufacture of basic chemicals","34150","Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]","1440","Chlordimeform (Trade)",NA,NA,NA,NA,NA,NA,NA
"market activity","2,5-dimethylhexane-2,5-dihydroperoxide","market for 2,5-dimethylhexane-2,5-dihydroperoxide","kg","2011","Manufacture of basic chemicals","34150","Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]","3102","Nitrogen Fertilizers (N total nutrients)",NA,NA,NA,NA,NA,NA,NA
"market activity","2,6-di-tert-butylphenol","market for 2,6-di-tert-butylphenol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1428","Pentachlorophenol (Trade)",NA,NA,NA,NA,NA,NA,NA
"market activity","2,6-di-tert-butylphenol","market for 2,6-di-tert-butylphenol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1429","Salts of Pentachlorophenol (excl 280811)",NA,NA,NA,NA,NA,NA,NA
"market activity","2,6-di-tert-butylphenol","market for 2,6-di-tert-butylphenol","kg","2011","Manufacture of basic chemicals","34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]","1430","Dinoseb and dinoseb salts (Trade)",NA,NA,NA,NA,NA,NA,NA
