"special_activity_type","product_name","activity_name","unit","ISIC_number","ISIC_class","CPC_number","CPC_description","FAO_code","FAO_name","ProductCategory","ProductSubcategory","ProductName","ActivityName","Unit","ProductSubgroup","FeedIngredients"
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0842","Compound Feed, Pigs",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0845","Compound Feed nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0849","Feed Yeast",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0850","Feed Supplements",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0851","Non-Protein Nitrogens",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0852","Other Concentrates nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0853","Vitamins",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0854","Feed Additives",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","Distiller's Dried Grains with Solubles to generic market for protein feed","MJ","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0855","Feed Minerals",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","chlorine, gaseous","electrolysis of lithium chloride","kg","2011","Manufacture of basic chemicals","34231","Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0840","Compound Feed, Cattle",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0841","Compound Feed, Poultry",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0842","Compound Feed, Pigs",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0845","Compound Feed nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0849","Feed Yeast",NA,NA,NA,NA,NA,NA,NA
